8
64
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
3,0
3,1
3,2
3,3
3,4
3,5
3,6
3,7
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,7
5,0
5,1
5,2
5,3
5,4
5,5
5,6
5,7
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
7,0
7,1
7,2
7,3
7,4
7,5
7,6
7,7
112
0,1
0,8
1,2
1,9
2,3
2,10
3,4
3,11
4,5
4,12
5,6
5,13
6,7
6,14
7,15
8,9
8,16
9,10
9,17
10,11
10,18
11,12
11,19
12,13
12,20
13,14
13,21
14,15
14,22
15,23
16,17
16,24
17,18
17,25
18,19
18,26
19,20
19,27
20,21
20,28
21,22
21,29
22,23
22,30
23,31
24,25
24,32
25,26
25,33
26,27
26,34
27,28
27,35
28,29
28,36
29,30
29,37
30,31
30,38
31,39
32,33
32,40
33,34
33,41
34,35
34,42
35,36
35,43
36,37
36,44
37,38
37,45
38,39
38,46
39,47
40,41
40,48
41,42
41,49
42,43
42,50
43,44
43,51
44,45
44,52
45,46
45,53
46,47
46,54
47,55
48,49
48,56
49,50
49,57
50,51
50,58
51,52
51,59
52,53
52,60
53,54
53,61
54,55
54,62
55,63
56,57
57,58
58,59
59,60
60,61
61,62
62,63
0
100,60,30,0
