10
100
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
3,0
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
4,0
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
5,0
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
7,0
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
8,0
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
9,0
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
180
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
0,10
10,20
20,30
30,40
40,50
50,60
60,70
70,80
80,90
1,11
11,21
21,31
31,41
41,51
51,61
61,71
71,81
81,91
2,12
12,22
22,32
32,42
42,52
52,62
62,72
72,82
82,92
3,13
13,23
23,33
33,43
43,53
53,63
63,73
73,83
83,93
4,14
14,24
24,34
34,44
44,54
54,64
64,74
74,84
84,94
5,15
15,25
25,35
35,45
45,55
55,65
65,75
75,85
85,95
6,16
16,26
26,36
36,46
46,56
56,66
66,76
76,86
86,96
7,17
17,27
27,37
37,47
47,57
57,67
67,77
77,87
87,97
8,18
18,28
28,38
38,48
48,58
58,68
68,78
78,88
88,89
9,19
19,29
29,39
39,49
49,59
59,69
69,79
79,89
89,99
0
100,60,30,0
